ID_ViThuoc,TenViThuoc,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
1,Ích Mẫu,-0.39793664,0.050389405,0.23186842,0.20003702,1.0526052,0.56576204,1.0383555,0.951858,0.4970231,-0.6271427,-1.054304,-1.0616157,-1.0526265,-0.2766866,0.1453213,-0.08155836
2,Hương Phụ,-0.456877,0.05178167,0.21547195,0.19261992,1.0998513,0.5888494,1.0267233,0.9869334,0.498848,-0.6328275,-1.0422368,-1.0637823,-1.0015962,-0.27257684,0.17662346,-0.03991619
3,Ngải Cứu,-0.46742973,0.07098836,0.28842735,0.3029999,1.1531019,0.58908725,1.1212763,1.0929912,0.5454393,-0.6469709,-1.1414113,-1.143671,-1.1783476,-0.2767255,0.20228876,-0.06478776
4,Bạch Đồng Nữ,-0.40248716,0.07485681,0.2629985,0.2369822,1.0115018,0.5270911,1.0136734,0.9700008,0.4874291,-0.56734264,-1.0214384,-1.0190616,-1.031253,-0.29912353,0.1351353,-0.080755144
5,Cây Diếp Cá,-0.46958894,0.09909153,0.30494386,0.18788129,1.2105434,0.64956236,1.1376827,1.0226529,0.594831,-0.6493378,-1.1431004,-1.1882108,-1.109759,-0.3414967,0.13968208,0.028986739
6,Cây Hồng Hoa,-0.45512477,0.026615348,0.35020724,0.2072793,1.3616191,0.7369721,1.3729821,1.2169328,0.62057143,-0.71043277,-1.3503995,-1.3300645,-1.259457,-0.39351508,0.18148682,-0.010346033
7,Cây Gai,-0.020588716,0.001980096,0.012618206,0.0046553016,-0.0019771717,-0.023742177,-0.025277613,0.015224299,0.004160372,-0.03367994,0.022334289,-0.009032145,0.011826064,0.040935826,0.0132891,-0.0026626661
8,Cây Hoa Cứt Lợn,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
9,Bán Hạ,-0.4181674,0.07745322,0.22036207,0.24691463,1.0146691,0.47291043,0.93670815,0.9074211,0.46853375,-0.51501507,-1.0092499,-0.94657946,-1.0170432,-0.20382121,0.14802319,-0.05840413
10,Vỏ rễ cây Bông,-0.7278812,0.1849358,0.44977868,0.3231007,1.8610361,0.9400501,1.7677647,1.6475687,0.9152499,-1.0083807,-1.8418945,-1.8677034,-1.7866359,-0.5434559,0.22612841,-0.013357457
11,Hạt Bông,-0.015273428,-0.022774398,-0.036481682,0.039888196,-0.004664097,-0.06946944,0.005992518,0.015976323,-0.081236094,0.14217699,-0.04484831,0.07090339,-0.0031700418,0.021537825,-0.117324665,0.00816541
12,Cây Ngưu Tất,0.018516213,0.0067646476,0.01424171,-0.023159843,-0.050363187,-0.030397013,-0.021243477,-0.019810606,-0.00880578,0.0028600916,0.028376922,0.019567426,-0.0011155843,-0.016116856,-0.009243276,-0.0069426484
13,Cây Tô Mộc,-0.50278044,0.06038946,0.39903823,0.23856291,1.3745577,0.6649848,1.3496804,1.2382694,0.6357981,-0.7418827,-1.3567827,-1.3357471,-1.2854947,-0.33058926,0.19852617,-0.06933947
14,Cây Rau Ngót,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
15,Đài Hái,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
16,Cỏ Đuôi Lươn,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
17,Đương Quy,-0.49556804,0.1022594,0.2802136,0.24131656,1.1417325,0.5529169,1.0574841,1.0053215,0.5667083,-0.6784903,-1.1143425,-1.0953376,-1.0834591,-0.24152179,0.16609214,-0.06994027
18,Huyết Giác,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
19,Mướp (Xơ mướp),-0.022404272,0.00413258,0.008392446,0.0068020876,-0.003955692,-0.026517518,-0.026259223,0.016842876,0.006081064,-0.030917889,0.01188818,0.001805257,0.016617706,0.035632815,0.018124232,0.0025477223
20,Nhội,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
21,Ô Rô,-0.55196506,0.09558104,0.32613555,0.23770621,1.4401306,0.7409016,1.421734,1.3390367,0.66921234,-0.7901954,-1.4409794,-1.4496696,-1.4143002,-0.41193128,0.21922478,-0.08109845
22,Thiên Lý,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
23,Bạch Thược,-0.41424665,0.067330234,0.25373822,0.16325706,1.0855286,0.56053495,1.0474962,0.929173,0.494575,-0.6505267,-1.0654017,-1.0359067,-1.0447809,-0.271356,0.13223025,-0.064045474
24,Xích Thược,-0.41236648,0.05176122,0.22642943,0.17535293,1.0596102,0.5797167,1.0129576,0.9517954,0.47747576,-0.57168305,-0.9950605,-1.0120527,-0.97612756,-0.30235144,0.16485149,-0.025791917
